suburb,postcode,state,state_name,lat,lng
Wandina,6530,WA,Western Australia,-28.82088,114.63331
Woorree,6530,WA,Western Australia,-28.76474,114.65988
Cape Burney,6532,WA,Western Australia,-28.86435,114.65132
Warmun,6743,WA,Western Australia,-17.02653,128.22363
McBeath,6770,WA,Western Australia,-18.24265,127.68778
Halls Creek,6770,WA,Western Australia,-18.22526,127.67261
Leschenault,6233,WA,Western Australia,-33.25093,115.70925
Binningup,6233,WA,Western Australia,-33.1413,115.72735
Harvey,6220,WA,Western Australia,-33.07436,115.91655
Brunswick,6224,WA,Western Australia,-33.22115,115.84709
Dongara,6525,WA,Western Australia,-29.24267,114.93466
Port Denison,6525,WA,Western Australia,-29.28446,114.93477
Jerramungup,6337,WA,Western Australia,-33.91591,119.07881
Somerville,6430,WA,Western Australia,-30.76672,121.45312
Hannans,6430,WA,Western Australia,-30.71902,121.45303
South Kalgoorlie,6430,WA,Western Australia,-30.76294,121.4796
Boulder,6432,WA,Western Australia,-30.7753,121.48122
West Kalgoorlie,6430,WA,Western Australia,-30.78157,121.43499
West Lamington,6430,WA,Western Australia,-30.74788,121.45132
Kalgoorlie,6430,WA,Western Australia,-30.75213,121.46851
Victory Heights,6432,WA,Western Australia,-30.778,121.47153
South Boulder,6432,WA,Western Australia,-30.80189,121.49825
Lamington,6430,WA,Western Australia,-30.73416,121.46144
Piccadilly,6430,WA,Western Australia,-30.74235,121.46364
Williamstown,6430,WA,Western Australia,-30.73695,121.48585
Mullingar,6430,WA,Western Australia,-30.69511,121.50324
Broadwood,6430,WA,Western Australia,-30.78905,121.46196
Karlkurla,6430,WA,Western Australia,-30.73814,121.42866
Katanning,6317,WA,Western Australia,-33.68433,117.5683
Pinwernying,6317,WA,Western Australia,-33.66715,117.53706
Kellerberrin,6410,WA,Western Australia,-31.62379,117.70942
Kojonup,6395,WA,Western Australia,-33.82975,117.17763
Koorda,6475,WA,Western Australia,-30.81829,117.48323
Lake Grace,6353,WA,Western Australia,-33.09454,118.43401
Laverton,6440,WA,Western Australia,-28.74345,122.44635
Leinster,6437,WA,Western Australia,-28.07611,120.64295
Leonora,6438,WA,Western Australia,-28.84137,121.54856
Pemberton,6260,WA,Western Australia,-34.44324,116.05329
Manjimup,6258,WA,Western Australia,-34.24773,116.1464
Walpole,6398,WA,Western Australia,-34.97107,116.76493
Meekatharra,6642,WA,Western Australia,-26.50816,118.61334
Mingenew,6522,WA,Western Australia,-29.19993,115.43718
Moora,6510,WA,Western Australia,-30.61198,116.00668
Morawa,6623,WA,Western Australia,-29.19494,116.01348
Mount Magnet,6638,WA,Western Australia,-28.06349,117.86423
Mukinbudin,6479,WA,Western Australia,-30.87007,118.2763
Mullewa,6630,WA,Western Australia,-28.49137,115.56468
Dwellingup,6213,WA,Western Australia,-32.73464,116.07722
Nannup,6275,WA,Western Australia,-33.93602,115.83783
Narembeen,6369,WA,Western Australia,-32.06161,118.39639
Narrogin,6312,WA,Western Australia,-32.93756,117.17167
Northam,6401,WA,Western Australia,-31.65235,116.66214
